Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.02     58.79     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f0d)
  0.02     58.80     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f31)
  0.02     58.81     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f3b)
  0.02     58.82     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f81)
  0.02     58.83     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fad)
  0.02     58.84     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9022)
  0.02     58.85     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90a4)
  0.02     58.86     0.01                             blake2b_compress (blake2b-ref.c:206 @ 92a8)
  0.02     58.87     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9397)
  0.02     58.88     0.01                             blake2b_compress (blake2b-ref.c:207 @ 93da)
  0.02     58.89     0.01                             blake2b_compress (blake2b-ref.c:207 @ 93e4)
  0.02     58.90     0.01                             blake2b_compress (blake2b-ref.c:207 @ 941d)
  0.02     58.91     0.01                             blake2b_compress (blake2b-ref.c:208 @ 950d)
  0.02     58.92     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9615)
  0.02     58.93     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9636)
  0.02     58.94     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9672)
  0.02     58.95     0.01                             blake2b_compress (blake2b-ref.c:209 @ 972d)
  0.02     58.96     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9791)
  0.02     58.97     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9831)
  0.02     58.98     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9842)
  0.02     58.99     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9959)
  0.02     59.00     0.01                             blake2b_compress (blake2b-ref.c:210 @ 99a2)
  0.02     59.01     0.01                             blake2b_compress (blake2b-ref.c:210 @ 99b7)
