Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.01    109.76     0.01                             blake2b_compress (blake2b-ref.c:209 @ 96fa)
  0.01    109.77     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9712)
  0.01    109.78     0.01                             blake2b_compress (blake2b-ref.c:209 @ 972d)
  0.01    109.79     0.01                             blake2b_compress (blake2b-ref.c:209 @ 976c)
  0.01    109.80     0.01                             blake2b_compress (blake2b-ref.c:209 @ 97a2)
  0.01    109.81     0.01                             blake2b_compress (blake2b-ref.c:209 @ 97e0)
  0.01    109.82     0.01                             blake2b_compress (blake2b-ref.c:209 @ 97f5)
  0.01    109.83     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9831)
  0.01    109.84     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9868)
  0.01    109.85     0.01                             blake2b_compress (blake2b-ref.c:210 @ 989b)
  0.01    109.86     0.01                             blake2b_compress (blake2b-ref.c:210 @ 99d5)
  0.01    109.87     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b82)
  0.01    109.88     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bed)
  0.01    109.89     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c44)
  0.01    109.90     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c51)
  0.01    109.91     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c6a)
  0.01    109.92     0.01                             blake2b_compress (blake2b-ref.c:213 @ 9ca1)
  0.01    109.93     0.01                             blake2b_compress (blake2b-ref.c:216 @ 9ca6)
  0.01    109.94     0.01                             blake2b_final (blake2b-ref.c:250 @ a095)
  0.01    109.95     0.01                             blake2b_final (blake2b-ref.c:264 @ a12a)
  0.01    109.96     0.01                             blake2b_final (blake2b-ref.c:264 @ a139)
  0.01    109.97     0.01                             blake2b_increment_counter (blake2b-ref.c:68 @ a0d9)
  0.01    109.98     0.01                             blake2b_init_param (blake2b-ref.c:94 @ 9ed1)
  0.01    109.99     0.01                             blake2b_update (blake2b-ref.c:246 @ 9d11)
  0.01    110.00     0.01                             hashtable_add (hashtable.h:268 @ 4b07)
  0.01    110.01     0.01                             hashtable_add (hashtable.h:272 @ 4b62)
  0.01    110.02     0.01                             hashtable_find (hashtable.h:292 @ 49c3)
  0.01    110.03     0.01                             rotr64 (blake2-impl.h:155 @ 85a0)
  0.01    110.04     0.01                             rotr64 (blake2-impl.h:155 @ 869c)
  0.01    110.05     0.01                             rotr64 (blake2-impl.h:155 @ 86ba)
  0.01    110.06     0.01                             rotr64 (blake2-impl.h:155 @ 8818)
  0.01    110.07     0.01                             rotr64 (blake2-impl.h:155 @ 88b4)
  0.01    110.08     0.01                             rotr64 (blake2-impl.h:155 @ 88dd)
  0.01    110.09     0.01                             rotr64 (blake2-impl.h:155 @ 8920)
  0.01    110.10     0.01                             rotr64 (blake2-impl.h:155 @ 892e)
  0.01    110.11     0.01                             rotr64 (blake2-impl.h:155 @ 8962)
  0.01    110.12     0.01                             rotr64 (blake2-impl.h:155 @ 8990)
  0.01    110.13     0.01                             rotr64 (blake2-impl.h:155 @ 89b8)
  0.01    110.14     0.01                             rotr64 (blake2-impl.h:155 @ 89cc)
  0.01    110.15     0.01                             rotr64 (blake2-impl.h:155 @ 8a52)
  0.01    110.16     0.01                             rotr64 (blake2-impl.h:155 @ 8b49)
  0.01    110.17     0.01                             rotr64 (blake2-impl.h:155 @ 8b81)
  0.01    110.18     0.01                             rotr64 (blake2-impl.h:155 @ 8bbd)
  0.01    110.19     0.01                             rotr64 (blake2-impl.h:155 @ 8c28)
  0.01    110.20     0.01                             rotr64 (blake2-impl.h:155 @ 8d15)
  0.01    110.21     0.01                             rotr64 (blake2-impl.h:155 @ 8da7)
  0.01    110.22     0.01                             rotr64 (blake2-impl.h:155 @ 8e12)
  0.01    110.23     0.01                             rotr64 (blake2-impl.h:155 @ 8e1f)
  0.01    110.24     0.01                             rotr64 (blake2-impl.h:155 @ 8e2f)
  0.01    110.25     0.01                             rotr64 (blake2-impl.h:155 @ 8f98)
  0.01    110.26     0.01                             rotr64 (blake2-impl.h:155 @ 9045)
  0.01    110.27     0.01                             rotr64 (blake2-impl.h:155 @ 90ae)
  0.01    110.28     0.01                             rotr64 (blake2-impl.h:155 @ 9131)
  0.01    110.29     0.01                             rotr64 (blake2-impl.h:155 @ 9160)
  0.01    110.30     0.01                             rotr64 (blake2-impl.h:155 @ 91be)
  0.01    110.31     0.01                             rotr64 (blake2-impl.h:155 @ 9268)
  0.01    110.32     0.01                             rotr64 (blake2-impl.h:155 @ 933d)
  0.01    110.33     0.01                             rotr64 (blake2-impl.h:155 @ 93b5)
  0.01    110.34     0.01                             rotr64 (blake2-impl.h:155 @ 93d6)
  0.01    110.35     0.01                             rotr64 (blake2-impl.h:155 @ 9431)
  0.01    110.36     0.01                             rotr64 (blake2-impl.h:155 @ 946e)
  0.01    110.37     0.01                             rotr64 (blake2-impl.h:155 @ 94f1)
  0.01    110.38     0.01                             rotr64 (blake2-impl.h:155 @ 95af)
  0.01    110.39     0.01                             rotr64 (blake2-impl.h:155 @ 96f3)
  0.01    110.40     0.01                             rotr64 (blake2-impl.h:155 @ 9815)
  0.01    110.41     0.01                             rotr64 (blake2-impl.h:155 @ 99f2)
  0.01    110.42     0.01                             rotr64 (blake2-impl.h:155 @ 9a53)
  0.01    110.43     0.01                             rotr64 (blake2-impl.h:155 @ 9ab9)
  0.01    110.44     0.01                             rotr64 (blake2-impl.h:155 @ 9ace)
  0.01    110.45     0.01                             rotr64 (blake2-impl.h:155 @ 9ae9)
  0.01    110.46     0.01                             rotr64 (blake2-impl.h:155 @ 9b00)
  0.01    110.47     0.01                             rotr64 (blake2-impl.h:155 @ 9b49)
  0.01    110.48     0.01                             rotr64 (blake2-impl.h:155 @ 9b59)
  0.01    110.49     0.01                             rotr64 (blake2-impl.h:155 @ 9b63)
  0.01    110.50     0.01                             rotr64 (blake2-impl.h:155 @ 9be6)
  0.01    110.51     0.01                             rotr64 (blake2-impl.h:155 @ 9c40)
  0.01    110.52     0.01                             rs_appendmiss (delta.c:287 @ 6107)
  0.01    110.53     0.01                             rs_block_match_cmp (sumset.c:68 @ 47d3)
  0.01    110.54     0.01                             rs_block_match_cmp (sumset.c:76 @ 4807)
  0.01    110.55     0.01                             rs_block_match_init (sumset.c:59 @ 4742)
  0.01    110.56     0.01                             rs_block_sig_init (sumset.c:37 @ 46af)
  0.01    110.57     0.01                             rs_delta_s_scan (delta.c:149 @ 60bf)
  0.01    110.58     0.01                             rs_filebuf_free (buf.c:71 @ 5593)
  0.01    110.59     0.01                             rs_getinput (delta.c:207 @ 5e82)
  0.01    110.60     0.01                             rs_infilebuf_fill (buf.c:81 @ 55e8)
  0.01    110.61     0.01                             rs_job_complete (job.c:84 @ 6857)
  0.01    110.62     0.01                             rs_job_drive (job.c:160 @ 6972)
  0.01    110.63     0.01                             rs_job_drive (job.c:161 @ 6980)
  0.01    110.64     0.01                             rs_job_iter (job.c:101 @ 67b7)
